source	target	class	description
I4U23_010820	Adineta vaga	Bacteria	Cell wall degradation enzyme from soil bacteria
I4U23_010821	Adineta vaga	Bacteria	Antibiotic resistance gene from Actinobacteria
I4U23_010822	Adineta vaga	Fungi	Carbohydrate-active enzyme from Ascomycetes
I4U23_010823	Adineta vaga	Bacteria	DNA repair protein from Proteobacteria
I4U23_010824	Adineta vaga	Virus	Reverse transcriptase from retrotransposon
I4U23_010825	Adineta vaga	Bacteria	Membrane transport protein from Cyanobacteria
I4U23_010826	Adineta vaga	Archaea	Heat shock protein from thermophilic archaea
I4U23_010827	Adineta vaga	Bacteria	Secondary metabolite synthesis from Streptomyces
I4U23_010828	Adineta vaga	Plant	Photosynthesis-related protein from algae
I4U23_010829	Adineta vaga	Bacteria	Toxin-antitoxin system from Firmicutes
I4U23_010830	Adineta vaga	Fungi	Chitinase enzyme from Basidiomycetes
I4U23_010831	Adineta vaga	Bacteria	Iron acquisition system from Pseudomonas
I4U23_010832	Adineta vaga	Virus	Integrase protein from bacteriophage
I4U23_010833	Adineta vaga	Bacteria	Nitrogen fixation gene from Rhizobia
I4U23_010834	Adineta vaga	Animal	Collagen-like protein from marine invertebrates
I4U23_010836	Adineta vaga	Bacteria	Quorum sensing regulator from Vibrio
I4U23_010837	Adineta vaga	Archaea	Methane metabolism enzyme from methanogens
I4U23_010838	Adineta vaga	Bacteria	Biofilm formation protein from Bacillus
I4U23_010839	Adineta vaga	Fungi	Protease inhibitor from pathogenic fungi
I4U23_010840	Adineta vaga	Bacteria	Heavy metal resistance from Cupriavidus
I4U23_010841	Adineta vaga	Virus	Capsid protein from giant virus
I4U23_010842	Adineta vaga	Bacteria	Antifreeze protein from polar bacteria
I4U23_010843	Adineta vaga	Plant	Stress response protein from mosses
I4U23_010844	Adineta vaga	Bacteria	Cellulose degradation enzyme from Cellulomonas
I4U23_010845	Adineta vaga	Animal	Venom component from arthropods
I4U23_010846	Adineta vaga	Bacteria	UV damage repair from Deinococcus
I4U23_010847	Adineta vaga	Archaea	Extreme pH adaptation protein
I4U23_010848	Adineta vaga	Bacteria	Antimicrobial peptide synthesis
I4U23_010849	Adineta vaga	Fungi	Lignin degradation enzyme
I4U23_010850	Adineta vaga	Bacteria	Siderophore biosynthesis pathway
I4U23_010851	Adineta vaga	Virus	DNA packaging protein
I4U23_010852	Adineta vaga	Bacteria	Carbon fixation enzyme
I4U23_010853	Adineta vaga	Plant	Flavonoid biosynthesis gene
I4U23_010854	Adineta vaga	Bacteria	Motility and chemotaxis system
I4U23_010855	Adineta vaga	Animal	Immune response protein
I4U23_010856	Adineta vaga	Bacteria	Spore formation gene
I4U23_010857	Adineta vaga	Archaea	Halophilic adaptation protein
I4U23_010858	Adineta vaga	Bacteria	Bioluminescence system
I4U23_010859	Adineta vaga	Fungi	Mycotoxin resistance gene
I4U23_010860	Adineta vaga	Bacteria	Plasmid conjugation machinery
I4U23_010861	Adineta vaga	Virus	Host recognition protein
I4U23_010862	Adineta vaga	Bacteria	Nitrate reductase complex
I4U23_010863	Adineta vaga	Plant	Drought tolerance protein
I4U23_010864	Adineta vaga	Bacteria	Polysaccharide capsule synthesis
I4U23_010865	Adineta vaga	Animal	Neurotransmitter synthesis enzyme
I4U23_010866	Adineta vaga	Bacteria	Type III secretion system
I4U23_010867	Adineta vaga	Archaea	Sulfur metabolism enzyme
I4U23_010868	Adineta vaga	Bacteria	Riboswitch regulatory element
I4U23_010869	Adineta vaga	Fungi	Cell wall integrity sensor
I4U23_010870	Adineta vaga	Bacteria	Competence development protein
I4U23_010871	Adineta vaga	Virus	Anti-defense protein
I4U23_010872	Adineta vaga	Bacteria	Osmotic stress response protein
I4U23_010873	Adineta vaga	Plant	Seed storage protein
I4U23_010874	Adineta vaga	Bacteria	Flagellar motor protein
I4U23_010875	Adineta vaga	Animal	Pigment synthesis enzyme
I4U23_010876	Adineta vaga	Bacteria	Twin-arginine translocation system
I4U23_010877	Adineta vaga	Archaea	DNA binding protein
I4U23_010878	Adineta vaga	Bacteria	Two-component signal transduction
I4U23_010879	Adineta vaga	Fungi	Mating type protein
I4U23_010880	Adineta vaga	Bacteria	CRISPR-associated protein
I4U23_010881	Adineta vaga	Virus	DNA polymerase from mimivirus
I4U23_010882	Adineta vaga	Bacteria	ABC transporter system
I4U23_010883	Adineta vaga	Plant	Terpene synthase enzyme
I4U23_010884	Adineta vaga	Bacteria	Cytochrome P450 enzyme
I4U23_010885	Adineta vaga	Animal	Hormone receptor protein
I4U23_010886	Adineta vaga	Bacteria	Restriction-modification system
I4U23_010887	Adineta vaga	Archaea	RNA polymerase subunit
I4U23_010888	Adineta vaga	Bacteria	Polyhydroxyalkanoate synthesis
I4U23_010889	Adineta vaga	Fungi	Glycosyl hydrolase enzyme
I4U23_010890	Adineta vaga	Bacteria	Type IV pilus assembly
I4U23_010891	Adineta vaga	Virus	Transposase from endogenous virus
I4U23_010892	Adineta vaga	Bacteria	Cold shock protein
I4U23_010893	Adineta vaga	Plant	Pathogenesis-related protein
I4U23_010894	Adineta vaga	Bacteria	Autoinducer synthesis enzyme
I4U23_010895	Adineta vaga	Animal	Calcium-binding protein
I4U23_010896	Adineta vaga	Bacteria	Peptidoglycan hydrolase
I4U23_010897	Adineta vaga	Archaea	Histone-like protein
I4U23_010898	Adineta vaga	Bacteria	Sigma factor regulatory protein
I4U23_010899	Adineta vaga	Fungi	Melanin biosynthesis enzyme
I4U23_010900	Adineta vaga	Bacteria	TonB-dependent receptor
I4U23_010901	Adineta vaga	Virus	Non-structural protein from RNA virus
I4U23_010902	Adineta vaga	Bacteria	Polyketide synthase
I4U23_010903	Adineta vaga	Plant	Alkaloid biosynthesis enzyme
I4U23_010904	Adineta vaga	Bacteria	Chemotaxis receptor protein
I4U23_010905	Adineta vaga	Animal	Antifungal peptide
I4U23_010906	Adineta vaga	Bacteria	DNA methyltransferase
I4U23_010907	Adineta vaga	Archaea	Translation elongation factor
I4U23_010908	Adineta vaga	Bacteria	Beta-lactamase enzyme
I4U23_010909	Adineta vaga	Fungi	Cellulose binding domain
I4U23_010910	Adineta vaga	Bacteria	Type II secretion system
I4U23_010911	Adineta vaga	Virus	Structural protein from phage
I4U23_010912	Adineta vaga	Bacteria	Carotenoid biosynthesis gene
I4U23_010913	Adineta vaga	Plant	Wax biosynthesis enzyme
I4U23_010914	Adineta vaga	Bacteria	Pilus assembly protein
I4U23_010915	Adineta vaga	Animal	Hemolymph protein
I4U23_010916	Adineta vaga	Bacteria	Ribosome protection protein
I4U23_010917	Adineta vaga	Archaea	DNA topoisomerase
I4U23_010918	Adineta vaga	Bacteria	Quinone biosynthesis enzyme
I4U23_010919	Adineta vaga	Fungi	Protease enzyme
I4U23_010920	Adineta vaga	Bacteria	Transposase from insertion sequence
I4U23_010921	Adineta vaga	Virus	RNA-dependent RNA polymerase
I4U23_010922	Adineta vaga	Bacteria	Nitrite reductase
I4U23_010923	Adineta vaga	Plant	Late embryogenesis abundant protein
I4U23_010924	Adineta vaga	Bacteria	Chaperone protein
I4U23_010925	Adineta vaga	Animal	Cuticle protein
